MemTotal:        2919216 kB
MemFree:           91460 kB
MemAvailable:     893796 kB
Buffers:           83040 kB
Cached:           722300 kB
SwapCached:        10512 kB
Active:          1630436 kB
Inactive:         953648 kB
Active(anon):    1166192 kB
Inactive(anon):   512992 kB
Active(file):     464244 kB
Inactive(file):   440656 kB
Unevictable:          48 kB
Mlocked:              48 kB
SwapTotal:       1368676 kB
SwapFree:         520080 kB
Dirty:                68 kB
Writeback:             0 kB
AnonPages:       1768724 kB
Mapped:           309828 kB
Shmem:             70952 kB
KReclaimable:      64876 kB
Slab:             146820 kB
SReclaimable:      64876 kB
SUnreclaim:        81944 kB
KernelStack:       11024 kB
PageTables:        36592 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     2828284 kB
Committed_AS:    8257020 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       35808 kB
VmallocChunk:          0 kB
Percpu:              768 kB
HardwareCorrupted:     0 kB
AnonHugePages:         0 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      229312 kB
DirectMap2M:     2768896 kB
